name,line
House, Can't you give out the aspirin yourself? I'll do paperwork.
House," Cough just won't go away, runny nose looks a funny color."
House, I think I read about something like that in the New England Journal of Medicine.
House, The color?
House, You mean yellow; it's jaundice.
House," Well, how orange?"
House, Painkillers.
House," No, 'cause they're yummy. You want one? It'll make your back feel better."
House," Unfortunately, you have a deeper pRoblem. Your wife is having an affair."
House," You're orange, you moron! It's one thing for you not to notice, but if your wife hasn't picked up on the fact that her husband has changed color, she's just not paying attention. By the way, do you consume just a ridiculous amount of carrots and mega-dose vitamins?"
House," The carrots turn you yellow, the niacin turns you red. Get some finger-paints and do the math. And get a good Lawyer."
House, Deep breath.
House, Has he been using his inhaler?
House," Your doctor pRobably was concerned about the strength of the medicine, too. She pRobably weighed that danger against the danger of not breathing. Oxygen is so important during those prepubescent years, don't you think? Ok, I'm gonna assume that no body's Ever told you what asthma is, or if they have, you had other things on your mind. A stimulant triggers cells in your Parkld's airways to release substances that inflame the air passages and cause them to contract. Mucus production increases, cell-lining starts to shed. But the steroids, the steroids!stop the inflammation. The more often this happens![trails off and starts to leave the room]"
House," Forget it. If you don't trust steroids, you shouldn't trust doctors."
House," Steroids. Give her steroids, high doses of prednisone."
House, So is a tumor. Her SED rate was elevated.
House," Yeah, I know. I have no reason to think that it's vasculitus except that it could be."
House," Yes, we can, we treat it. If she gets better we know that we're right."
House, We learn something else.
House, It's not the parrot.
House, How Many kids were there in the class?
House, How Many are home sick?
House," None, but you think that 5 year olds are more serious about bird hygiene than their teacher. You've been through her home?"
House, Would the police call for permission before dropping by to check out a crime scene?
House, Far as I know she's running a Meth Lab out of her basement.
House," And if I was a Kindergarten student I would trust her implicitly. [Sigh] Ok, I'll give you a for instance. The lady back there, who made your egg-salad sandwich. Her eyes look glassy, did you notice that? Now hospital policy is to stay home if you're sick, but if you're making $8.00 an hour, then ya kinda need the $8.00 an hour right? The sign in the bathroom says that employees must wash after using the facilities, but I figure that somebody who wipes snot on a sleEve isn't hyper concerned about sanitary conditions. So what do ya think? Should I trust her? I want you to check the Patient's home for contaminants, garbage, medication![interrupted]"
House," Isn't that how you got into the Felker's home? [pause] Yeah, I know, court records are sealed, you were 16, it was a stupid mistake, but your old gym teacher has a big mouth. You should write a thank you note."
House," Well, I needed somebody around here with street smarts. Ok? Knows when you're being conned, knows how to con."
House, I'm pretty sure you can't sue somebody for wrongful hiring.
House, I'm doing research. People are fascinating aren't they?
House," Well, she's my Patient that's what you do with Patients. You give them medicine."
House, You're comparing me to a Nazi? Nice.
House, She's my Patient.
House," I did not get her sick, she is not an experiment, I have a legitimate theory about what's wrong with her."
House, There's nEver any proof. 5 different doctors come up with 5 different diagnoses based on the same evidence.
House," I don't, I just find it hard to operate on the opposite assumption. And why are you so afraid of making a mistake?"
House, Come on.
House, People used to have more respect for cripples you know! [Turns to a guy in a wheelchair] They didn't really.
House," Should I discontinue the treatment, boss?"
House," Cool, huh?"
House, How long do we have?
House, We're gonna stop all treatment.
House," No, it's not a tumor. The steroids did something, I just don't know what."
House," Yeah, we're gonna watch her die. Specifically we're gonna watch how fast she's dying. You just told us, each diagnosis has its own timeframe. When we see how fast it's killing her we'll know what it is."
House," Well, I got nothing. How 'bout you?"
House, Any other reason you think you may have Chronic Fatigue Syndrome?
House, It's kinda the definition of getting older.
House, Apparently not while researParkng this stuff on the internet.
House," [Looks contemplative, and then serious] Excellent diagnosis [sarcastic]!"
House," [heavy sigh] Ya know, I think there just might be."
House," I need 36 Vicodin, and change for a dollar."
House, Exam room 2. [Places the bottle back on the counter.]
House, It's not a tumor; she's getting worse too fast. She can't stand up.
House, You said nothing that would explain these symptoms. What did you find that doesn't explain these symptoms?
House, You idiot!
House," Not you, him! You said you didn't find anything."
House, You found ham.
House," Where there's ham there's pork, where there's pork there's neurocysticercosis."
House," It fits. Could have been living there for years, it nEver occurred to me [interrupted]"
House," OK, Mr. Neurologist. What happens when you give steroids to a person who has a tapeworm?"
House," In a typical case if you don't cook pork well enough you ingest live tapeworm larvae. They got these little hooks they grab onto your bowel, they live, they grow up, they reproduce."
House," That's because this is not a typical case. Tapeworm can produce 20 to 30,000 eggs a day. Guess where they go."
House," Not all of them. Unlike the larvae, the egg can pass right through the walls of the intestines and into the blood stream. And where does the blood stream go?"
House," As long as it's healthy the immune system doesn't Even know it's there. The worm builds a wall, uses secretions to shut down the body's immune response and control fluid flow. It's really kinda beautiful."
House," It's too late for that. It's dying, and as it dies this parasite loses the ability to control of the host's defenses. The immune system wakes up and attacks the worm and Everything starts to swell, and that is very bad for the brain."
House," No, no, no, no, you see, it fits, it's perfect! It explains Everything."
House, I can prove it by treating it.
House," [To nurse] Will you excuse us, please?"
House, I'm Dr. House.
House," You're being an idiot. Ahem. [Pause] You have a tapeworm in your brain, it's not pleasant, but if we don't do anything you'll be dead by the weekend."
House, When you're all better I'll show you my diplomas.
House," I'm not talking about a treatment; I'm talking about a cure. But because I might be wrong, you want to die."
House, I had an infarction.
House, It's what happens when the blood flow is obstructed. If it's in the heart it's a heart attack. If it's in the lungs it's a pulmonary embolism. If it's in the brain it's a stroke. I had it in my thigh muscles.
House," There was plenty they could do, if they made the right diagnosis, but the only symptom was pain. Not may people get to experience muscle death."
House, I hoped I was dying.
House," When you're scared, you'll turn into me."
House," There's no such thing! Our bodies break down, sometimes when we're 90, sometimes before we're Even born, but it always happens and there's nEver any dignity in it. I don't care if you can walk, see, wipe your own ass. It's always ugly, always. [Pause] You can live with dignity, we can't die with it."
House, No treatment.
House, But she does.
House, That didn't happen here.
House," I solved the case, my work is done."
House," Patients always want proof, we're not making cars here, we don't give guarantees."
House," Yeah, yeah, yeah what's the damn idea?"
House," Worm cysts is the same density as the cerebrospinal fluid, we're not going to see anything in her head, but Chase is right, he's right, we should x-ray her, but we don't x-ray her brain, we x-ray her leg, worms love thigh muscle. If she's got one in her head I guarantee you there's one in her leg."
House, Does it matter?
House, Why?
House," No, it just seems that way because you can't think of an answer. Does it make a difference why I think I'm a jerk? The only thing that matters is what you think. Can you do the job?"
House," No, it wasn't a racial thing, I didn't see a black guy. I just saw a doctor!with a juvenile record. I hired Chase 'cause his dad made a phone call. I hired you because you are extremely pretty."
House," I can't beliEve that that would shock you. It's also not what I said. No, I hired you because you look good; it's like having a nice piece of art in the lobby."
House, But not THE top.
House," Yes, you were a very good applicant."
House," Would that upset you, really, to think that you were hired because of some genetic gift of beauty not some genetic gift of intelligence?"
House," But you didn't have to. People choose the paths that gain them the greatest rewards for the least amount of effort. That's a law of nature, and you defied it. That's why I hired you. You could have married rich, could have been a model, you could have just shown up and people would have given you stuff. Lots of stuff, but you didn't, you worked your stunning little ass off."
House, Gorgeous women do not go to medical school. Unless they're as damaged as they are beautiful. Were you abused by a family member?
House, Sexually assaulted?
House," But you are damaged, aren't you?"
House, You said she was your cousin. Why would you lie?
House," You lied to a friend to save a stranger, you don't think that's screwed up?"
House, I NEveR lie.
House, Got change for a dollar?
House, Close the door. Close the door!
House," She's knows I'm in here, the clinic, as she comManded; she just doesn't know I'm alone."
House, I'm off at 4:00.
House," I go out there, I get assigned a kid with a runny nose. That's 30 seconds looking at the nose; 25 minutes talking to a worried mom who won't leave until she sure it's not meningitis or a tumor."
House, That would be lying.
House, Not the definition of case though.
House, Cameron is answering my mail.
House, Research?
House," So, 4:03 PM. Dr. House checks out. Please write that down."
House," Sorry, done for the day. There's plenty of docs here to take care of you."
House," Hah, nice try, but this is a walk-in clinic, which means there are no appointments. It means you walk in, sign the chart and a doctor will see you, just not me."
House, Not a big letter writer.
House, When did my signature get so girly?
House," See that ""G""�, see how it makes a big loop on top? It doesn't Even look like my handwriting. Think I have something? What's the differential diagnosis for writing ""G's""� like a junior high school girl?"
House, PersEverance does not equal worthiness. Next time you want to get my attention wear something fun. Low-rider jeans are hot.
House," Night terrors, yeah? As in big scary monsters?"
House, To see the family.
House," 9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family. Good work."
House," Margins look fine. No lesions, color is good. How long have you been having night terrors?"
House," Nothing, it's just fun watParkng him blink. [To Dan] Name as Many animals as you can that begin with the letter ""B""� go."
House," Baby elephant is actually a good answer; ""B""� is a bear of a letter."
House," Proves two things, no neurological damage, and your son is nEver going to be Parkef fry cook. In teens there are two likely causes of night terrors: post traumatic stress, any recent shootouts at your high school?"
House," Well, then, Dave!"
House,"!if there's no trauma the other cause is sexual abuse. So, who's molesting you? Teacher, extra friendly neighbor? I'd ask if either one of you were involved, but you'd deny it."
House," I say it here, it comes out there. This lack of response is consistent with abuse."
House, [To Cameron] Did you know that he got hit in the head?
House," Yeah, why bother."
House," You hound me for my opinion and then question my diagnosis. Cool. ER obviously screwed up, kid's got a concussion."
House," Well, that changes Everything, you need glasses. That's why you had double vision, which is why you got hit, which is why you have a concussion, which is why you have night terrors. You need to see an ophthalmologist, which I am not."
House," You're an only Parkld, aren't you?"
House," Everything is about you. This may seem incredibly controversial, but I think sexual abuse is bad. I just wanted to make sure he wasn't being diddled by daddy, or mommy, anything else is just a bonus."
House, [attention on Dan] Interesting.
House, Don't move. Did I bore you in there?
House, Are you tired?
House," Right now, at this moment, are you tired?"
House, That twitch in your leg. Did you feel that?
House," It's called a myoclonic jerk, it's very common when you're falling asleep. Respiration rate falls, and the brain interprets this as the body dying, so it sends a pulse to wake it up."
House," So, he's not asleep, he's awake. [Turns to Cameron] Admit him."
House," I recognize that loopy ""G""�. So, what does the jerk tell us?"
House," A movement disorder, or degenerative brain disease. Either way this kid's gonna be picking up his diploma in diapers and a wheelchair."
House," You wish. No fEver, no white count. Anyone think this differential diagnosis might be compromised because we don't have an accurate family history?"
House, You didn't Even take an accurate family. His father's not his father.
House, 30% of all dads out there don't realize they're raising someone else's kid.
House, That's what our moms would like us to beliEve.
House, Fifty bucks says I'm right.
House," Hit a nerve? Don't worry, Foreman. I'm sure the guy who tucked you in at night was your daddy."
House," Yes, feel free to exclude any symptom if it makes your job easier."
House," That's a good point. Before we condemn this kid, maybe we should entertain Dr. Chase's skepticism. I want a detailed polysomnograph. If he's having night terrors I want to see them."
House, I'm not restraining you for them. EEG rEvealed abnormalities in your brain caused by nerve damage in your toes.
House, Fixing it.
House," Oh, they know all about this."
House," This is gonna hurt, Dan."
House," Ok, but let's pretend there's something and go from there. Who sees something on this MRI?"
House," He's 16, so he should have an absolutely pristine brain. The smallest thing is abnormal."
House," Excellent, you see what he did there? He took a small clue that there's a neurological pRoblem and wasn't afraid to run with it."
House," No, there's not, he's completely wrong."
House," He knew that I saw something on the MRI so he figured there must be something there and took a guess. ClEver, but also pathetic."
House, Take a close look at the corpus callosum.
House," Are we all looking at the same thing? 200 million interhemispheric nerve fibers, the George Washington Bridge between the left and right side of the brain. It's subtle."
House, Are you guessing?
House," Too bad, you're right."
House," Yeah, he pRobably got restless and shifted one hemisphere of his brain to a more comfortable position. Something is pushing on it."
House, Do you see a tumor on this MRI?
House," There's no tumor, just a blockage causing pressure, causing symptoms. Today"
House, He's lucky to have you as his doctors.
House, Yummy.
House," Mmhmm. No fEver, glands normal, missing her vaccination dates."
House, Think they don't work?
House, Mmmm. May I? [He takes the frog and starts to do the gribbit noise with the baby]
House," Gribbit, gribbit, gribbit. [The baby laughs] All natural, no dyes. That's a good business: all-natural Parkldren's toys. Those toy companies, they don't arbitrarily mark up their frogs. They don't lie about how much they spend on research and dEvelopment. The worst a toy company can be accused of is making a really boring frog."
House," Gribbit, gribbit, gribbit. You know another really good business? Teeny tiny baby coffins. You can get them in frog green or fire engine red. Really. The antibodies in yummy mummy only protect the kid for 6 months, which is why these companies think they can gouge you. They think that you'll spend whatEver they ask to keep your kid alive. Want to change things? Prove them wrong. A few hundred parents like you decide they'd rather let their kid die then cough up 40 bucks for a vaccination, beliEve me, prices will drop REALLY fast. Gribbit, gribbit, gribbit, gribbit, gribbit."
House, A cold.
House, Complications in surgery?
House, Really?
House, Which means multiple sclerosis. And the reason it takes three of you to tell me this?
House," Oh, who cares about McPherson? I hear he tortured kittens."
House," Oh, McDonald. Wonderful doctor, loved kittens."
House," Well if it is, it's gone from 0 to 60 in three weeks, which would indiCate rapidly progressive MS. Not the fun MS with the balloons and the bike rides for cripples in wheelchairs."
House," Start treating him now, he can walk for another couple of years, maybe live for another 5. Break it to the family. I'm going home."
House," Dr. Cuddy, great outfit."
House," No, hooker. Went to my office instead of my home."
House," Yeah, I got that part from the message. You said I was needed immediately."
House," I agree, he's gonna have a very nasty headache. That would also be my opinion if consulted tomorrow morning."
House, [Sighs] This is not a toddler wandering around a department store. He's 16. You'll find him. I'm going home.
House," No, I mean ""Call me if I can do something.""� I'm bad at search parties and I'm bad at sitting around looking nervous doing nothing."
House, Why? You think they're hiding him? Make sure someone checks the roof; some of the orderlies keep the door propped open so they can grab a smoke.
House, Dr. Foreman. I assume you found the kid.
House, Suicidal?
House, Conscious?
House, How'd you talk him down?
House, How come you didn't do it?
House," Come on, you can ride up with me."
House, Anybody tell the family that their boy almost stepped off a roof? They must be thrilled.
House," Why does Everyone always think I'm being sarcastic? This is great news! He doesn't have MS. The parents should be thrilled, well, the mom anyway. Of course, the dad pRobably doesn't know![interrupted]"
House," He was on the roof thinking he was on the lacrosse field, conscious, and therefore not a night terror. You want some of this? [Asking Foreman about the coffee]"
House," He was in an acute confusional state, which doesn't fit with a demyelinating disease like MS."
House," Right, he has an infection in his brain."
House," Well, it might get compliCated. We work together. I am older, certainly, but maybe you like that."
House," Heh, nice cover."
House, We don't need a definitive test to confirm this.
House," Ok, let's wait for you to run titers on 4000 viruses while this kid's brain turns to mush."
House," Well, it is if it's neurosyphilis, the likelihood of a false negative on an RPR test, 30%, the likelihood of a 16 year old having sex, roughly 120%."
House, We're not going to wait for that. The most effective way to deliver the drug is right into his brain via the spine.
House, Show of hands. Who thinks I'm not in my right mind?
House, And who thinks I forget this fairly basic neurological fact?
House, Who thinks there's a third option?
House," Very good, what's the third choice?"
House," Excellent, inject him through a lumbar puncture."
House," Geesh. It's infected, with a really big hole like you stuck a nail in it to reliEve the pressure."
House," Although the wound is irregular, not cylindrical, it's shaped like a triangle, so not a nail. Steak knife?"
House," [Whispered] Nail File. Yeah, pain'll make you do stupid things. Something to take the edge off? [Takes out his pills and puts one in his hand]"
House, Cheers. [Dry swallows the pill and Funsten eats his (ewwwww)] [Limps back
House, Here on work?
House, Does your penis hurt?
House," No, just thought I'd toss you a really inappropriate question. Your Lawyer's gonna love it."
House," You're from Maplewood, New Jersey. Right?"
House," Now, why would you drive 70 miles to get treatment for a condition that a 9 year old could diagnose? It's the free-flowing pus that's the tip-off."
House," Not for family, not for work. You drove 70 miles to a walk-in-clinic. You passed two hospitals on the road. Now, either you have a pRoblem with those hospitals, or they have a pRoblem with you. My guess is that you've sued half the doctors in Maplewood, and the rest are now refusing to treat you. It's ironic, isn't it? It's like the boy who sued wolf. You know what? I bet we have a doctor here named Wolfe. How perfect would that be? I'm gonna page him."
House," I didn't say I wouldn't treat you. We'll drain your knee, run some lab work, fix you right up."
House, I'm a people person.
House," All I know is that he sued some doctors, who am I to assume that they didn't have it coming to them. [Stops when he sees Cuddy coming] The cutest little tennis outfit, my God I thought I was going to have a heart attack.[Acts like he just realized that Cuddy was there.] Oh my, I didn't see you there, that is so embarrassing."
House," Oh, sweet of you to ask, funny story, she was going to be a hospital administrator, but hated having to screw people like that."
House, You have very acute hearing.
House," In due course, of course."
House, Doesn't sound like me.
House, You think?
House, [Stage whisper] My guy knows a guy who can get you in for $50 bucks.
House," And if I win, no clinic hours for a week."
House," So, either it's a bad batch of penicillin, or our diagnosis is wrong. Square one. ""Mignight.""�"
House," There goes metabolic. [Crosses off ""M""�]"
House," ""I""� for inflammation. [Crosses out the ""I""�]"
House," ""D""�, see ya. [Crosses out the ""D""�] ""N""� for neoplastic?"
House," ""I""� for inflammation."
House, Stupid to have two I's in one mneumonic. What's the other one?
House," Trauma, later much. [Looks at the board which is now all crossed out.] You know the pRoblem? Midnight is actually spelled with a ""G""� and an ""H,""� If we could just figure out what those two letters stand for. [Sighs and walks away for the board. His back is now facing the ducklings] It's a sick brain, having fun, torturing him, talking to him. [pause] Scaring the hell out of him. Get him an EEG, left and right EOG esophageal microphones. If this thing wants to talk, let's listen."
House, We're missing something. This is screwed up.
House," I panicked, ok? Sounded cool though, they bought it."
House," Oh, crap. Another reason I don't like meeting Patients. If they don't know what you look like they can't yell at you. [Aside to Wilson] Here we go."
House," If I eat standing up, I spill."
House," I'm sorry, you need to vent, I understand."
House," Blood pressure's 110/70, the shunt is patent well placed in the right lateral ventricle, the EKG shows a normal QRS with deep wave inversions throughout both limb and pericardial leads. LFTs are elevated but only twice the normal range. Oh yeah, and he's hearing voices. [Pause] Go hold his hand. Go on; I'll bus your tray."
House, Got any sample bags on you?
House," Their son is deathly ill, I know it's terrible, but the fact is if I don't keep busy with trivial things like this I'm afraid I might start to cry."
House, Yeah? You want to double the bet?
House, General Hospital is on channel 6.
House, No epileptiform activity. [Turns to Cameron] What are you doing?
House," Good, run DNA on these. [He puts down two cups that are labeled ""Mommy""� and ""Daddy???""�]"
House, Parents' coffee cups.
House," I've had this conversation once already. If you've got something else to do, do it. Otherwise, do this."
House," Hey, Mr. Funsten! I was wondering when you'd be back. Got some papers for me?"
House," I certainly hope so. [Funsten hands him an envelope] What? Too cheap to have your Lawyer serve it for you, or is it more fun this way?"
House, You have gonorrhea.
House," Well, maybe you're right, but I have a lab result that says you do. It could be a false positive; normally I'd run a second test, but since you're here I'll just go with the first."
House," It's reportable you know, public health issue."
House," Oh, don't bother yourself, the state will call for you. Look, if you're clean I'm sure this will all blow over, no big deal. There's an easy way to find out, get one of your doctors to run a test."
House, Uh-uh. These are mine now. I'll see you in court. [House enters the elevator.]
House, You idiots! You lied to me!
House, Can we get off my screw-ups and focus on theirs? Theirs is bigger. You're not Dan's parents.
House, I do.
House," Listen, when we were taking his medical history, were you confused? Did you think we were looking for a genetic clue to his condition, or did you think we were trying to ascertain who loves him the most in the whole wide world?"
House, I sampled their DNA.
House, Your coffee cups from the cafeteria.
House," Again, why are we getting hung up on what I did? [Turns to Dan's parents] Your medical history is useless."
House," Was she vaccinated? [Pause] The biological mother, when she was a baby, did she get her vaccinations?"
House," Mm hmm, and do you know why kids get vaccinated at 6 months? Because before that, they are protected by their biological mother's immune system. So, was she vaccinated?"
House," An infant picks up a regular old measles virus. He gets a rash, he's extremely uncomfortable, has a wicked fEver, but he lives. Here's the kicker, once Every million or so times, the virus mutates. [Cut to House's office. House and the ducklings are there] Instead of Dan having a fEver and a rash the virus travels to his brain and hides like a time bomb. In this case for 16 years."
House, I know. There's only been 20 cases in the United States in the past 30 years.
House," Boom, stage two is universally fatal."
House," He's already started showing symptoms. It could be a month, it could be tonight."
House, Ask the neurologist.
House, Tap him.
House," So the wrong treatment kills any hope of the right diagnosis. Why do people lie to me? [Pauses and sighs] It could also kill him. Your ball, Foreman, tell me I don't have to biopsy his brain."
House," It's not an actual cost. I don't know if you know this, but the hospital actually owns the sequencing maParkne."
House," Well, tell the parents to submit the bill to insurance."
House," It should. If we don't make that bet, the kid dies. If not for the paternity bet, I nEver would have taken their DNA, without their DNA we nEver would have discovered that Dan was adopted, which was the key to this case. You just don't want to pay your end. Big mistake. My guy knows a guy."
House," Well now, there's the $100 you owe me, there's the $100 I won from Cameron, $200 I took off of Foreman, and $600 I got from Wilson. Very bitter."
House," Wheels, one-eight! Wheels!"
House, Why do you want me to treat this guy?
House," No, no I didn't ask how you plan to con me into treating him, I asked you why YOU want me to treat him."
House," There are about a billion sick people on the planet, why this one?"
House," Ah, so it's a proximity issue. If somebody was sick in the third floor stairwell that's who we would be talking about."
House," Ok then, emergency room guy it is."
House, You know why.
House," Yeah, that's just weird."
House," CBC was unremarkable, abdominal CT scan didn't show anything. So, people, differential diagnosis. What's wrong with her?"
House," Him, her, does it matter? Does anyone think it is a testicular pRoblem? No, so Chase!"
House," Foreman, if you're going to list all the things it's not, it might be quicker to do it alphabetically. Let's see. Absidia? Excellent. Doesn't account for any of the symptoms."
House," Well, good! Because I thought maybe he was sick, but apparently he's not. Who wants to do up the discharge papers? [pause] Okay, unless we control the blood pressure, he's going to start circling the drain before we can figure out what's wrong with him. Treat him for sepsis, broad-spectrum antibiotics and I want a cort-stim test and an echocardiogram."
House, Busy case load.
House," So, how are we doing on cotton swabs today? If there's an acute shortage I could run home ""�"
House," Nice. [He walks over to the waiting room full of Patients.] Hello, sick people and their loved ones! [Cuddy looks at him incredulously.] In the interest of saving time and avoiding a lot of boring Parkt-chat later, I'm Dr. Gregory House. You can call me Gregg. I'm one of three doctors staffing this clinic this morning."
House," This ray of sunshine is Dr. Cuddy. Dr. Cuddy runs this whole hospital so, unfortunately, she's much too busy to deal with you. I am a bored [looks at Cuddy] certified diagnostician with a double specialty of infectious disease and nephrology. I'm also the only doctor currently employed at this clinic who is here against his will. That is true, isn't it? [Cuddy just looks at him.] But not to worry, because for most of you this job could be done by a monkey with a bottle of Motrin. Speaking of which, if you're particularly annoying, you may see me reach for this. This is Vicodin. It's mine. You can't have any. And no, I do not have a pain Management pRoblem, I have a pain pRoblem. But who knows? Maybe I'm wrong. Maybe I'm too stoned to tell. So, who wants me? [None of the clinic Patients seem too eager.] And who would rather wait for one of the other two doctors? [Everyone raises their hands.] Okay, well, I'll be in Exam Room 1 if you change your mind."
House, It was?
House," Hmmm, that's a shame."
House, Your mucus was pale goldenrod.
House," Oh, yes. Very."
House," And yet, here you are. What happened? Paramedics took a week to respond to your 911 call?"
House, And you are very bad at whatEver it is you do.
House," I know you're going to get fired. That's why you got the new glasses, that's why your teeth are sParkly white. You're getting the most of your health insurance while you still can."
House, If you were quitting you would have known that last week when your snot was still pale goldenrod; you're getting fired.
House, I'll get you in for a full body scan later this week.
House," So, we had six symptoms that didn't add up to anything, now we have sEven. Who's excited?"
House, Maybe.
House," You read the book. Impressive. It's a ludicrously long shot that explains Every one of those symptoms, except for the cough and the rash. Should we just erase those?"
House," Okay. [He grabs a colored marker.] Cardiac infection. [He circles all of the applicable symptoms, puts down the marker, and then picks up a different marker.] Cameron, you thought! allergy? [Circle, new marker, repeat.] Chase, what was it you thought, carcinoid? And then there's hypothyroidism, could be parasites. Finally, sinus infection."
House, Cameron was right. No condition explains all these symptoms. But orange and green covers Everything.
House, And you think one is simpler than two.
House, Baby shows up. Chase tells you that two people exchanged fluids to create this being. I tell you that one stork dropped the little tyke off in a diaper. You going to go with the two or the one?
House," I think your tie is ugly. Why is one simpler than two? It's lower, lonelier! is it simpler? Each one of these conditions is about a thousand to one shot. That means that any two of them happening at the same time is a million to one shot. Chase says that cardiac infection is a 10 million to one shot, which makes my idea 10 times better than yours. Get a calculator, run the numbers."
House, Tests take time. Treatment's quicker. Start the kid on Unasyn for the sinus infection and! what was orange?
House, LEvel 4.
House, I know what you meant. We're waiting.
House, So you said.
House, Two minutes less then when you asked me two minutes ago. [Cuddy walks in.]
House," Dr. Cuddy, thanks for the consult. [He closes the Gameboy.] His throat seems to have some condition."
House," Of course! Yes, why didn't I! I mean, because he said that! it hurt, and I, I should have deduced that meant it was sore!"
House," Patients come first, right?"
House," You once asked why I think I'm always right, and I realized that you're right! at least, I think you're right. I don't really know now, do I? [Cuddy smiles.]"
House, Excellent counsel.
House," No. [House walked in to the lab, unbeknownst to the other doctors.] If you look the way you do, and you say what you said, you have to be aware of the effect that it'll have on men."
House," Yeah. And dogs should stop licking themselves, it's not gonna happen. [Chase comes in.]"
House, Looking for you guys.
House, 'Cause I knew you'd be here.
House," No one. I assume you're trying to prove my crazy two-illness theory wrong, so, obviously, you're going to be in the lab. You spin the urine? [He pops a Vicodin.]"
House, Talk to me when you have.
House, What did you find out?
House, I wonder if that's signifigant.
House," Well, if you guys hadn't been so busy trying to prove me wrong, you might have checked in on the poor kid."
House," I was sitting by his bed all morning, just so he'd know someone was there for him."
House," Ergo, the treatment's working. Ergo, me right, you wrong."
House, Thank you. It was either that or get my hair highlighted. Smugness is easier to maintain.
House," Flies, no. Doctors, sure. If I'd said to Foreman, ""Nice try, it was a great guess, but not this time,""� what do you think he'd be doing right now?"
House, Exactly.
House," No, I don't want him going home."
House," 9:30, I figure she was on the 8th hole when I paged her! [he grimaces as his guy dies, and hands her the Gameboy] PRobably got another half hour. [She starts to play as Foreman opens the door.]"
House, Well the fact that he's getting better would indiCate the unreliability of the tests.
House," Her leg hurts after running six miles. Who knows, it could be anything!"
House, I am so glad you work here.
House," Well, that certainly would be a concern. Fifty bucks? [Patient looks up.] Don't look away, the space monkeys will be all over you."
House," You think that's bad luck? Do you think that God will smite him because of our insensitivity? Well, if God does, you make a quick fifty. [Patient kills the little guy on the Gameboy.] Go check his white blood count. If he's fighting off a virus like you think it'll be way up. [He starts to play on the Gameboy again. Foreman leaves, and Wilson enters.]"
House," White cell count isn't up, is it?"
House, The Patient could have died.
House," Well, those symptoms are consistent with a dozen other conditions. I, you know, I, I'm entitled to a consult!"
House," Oh, come on. You've got a hundred other idiot doctors in this building who go warm and fuzzy Every time they pull a toy car out of a nose, you don't need me here."
House, When did I sign up for that course?
House," Working in this clinic obviously instills a deep sense of compassion. [He starts to walk out.] I've got your home number, right? In case anything comes up at 3 o'clock in the morning."
House, Don't.
